ASIN,product Name,Review Title,Review Rating,Review Body,Review Date
B0BCKHQGJN,"Wireless Earbuds, Bluetooth 5.3 Headphones In Ear with 4 ENC Noise Cancelling Mic, Btootos New Bluetooth Earbuds Mini Deep Bass Stereo Sound, 36H Playtime LED Display Wireless Earphones IP7 Waterproof",Great value earbuds,4.0,"I have only just purchased these but so far so good being my first earbuds.As I got a voucher discount and these were reduced, they are brilliantly priced for the quality. I am happy with sound quality and although the noise cancellation is low, I hear the same thing about a lot of other similar earbuds that cost a lot more anyway. The 3 sizes of ear piece covers is great (I need to experiment with these)- I was able to remove and fix on the new covers by stretching each one slightly so it wasn't too difficult.My only concern was initially not being able to pair with my laptop but after searching some answered questions, the advice given by someone about tapping the buds x5 and returning to their charging case for about 30 seconds worked. So, so far very happy.",Reviewed in the United Kingdom 🇬🇧 on 20 February 2023
B0BCKHQGJN,"Wireless Earbuds, Bluetooth 5.3 Headphones In Ear with 4 ENC Noise Cancelling Mic, Btootos New Bluetooth Earbuds Mini Deep Bass Stereo Sound, 36H Playtime LED Display Wireless Earphones IP7 Waterproof",Great but could be better.,4.0,"Really nice sound, fit well & the charging dock is nice & small too.My only real criticism is the noise cancelling is always active, so when you’re wearing them, very little exterior sound gets in, so while out and about, you have to pay a lot more care to traffic & people around you as you hear virtually nothing.  It’d be nice to be able to to the noise cancelling off or at least decrease its efficacy. Otherwise, great little earphones, especially for the price.",Reviewed in the United Kingdom 🇬🇧 on 1 March 2023
B0BCKHQGJN,"Wireless Earbuds, Bluetooth 5.3 Headphones In Ear with 4 ENC Noise Cancelling Mic, Btootos New Bluetooth Earbuds Mini Deep Bass Stereo Sound, 36H Playtime LED Display Wireless Earphones IP7 Waterproof",Long Lasting earbuds with amazing sound and good quality microphone,5.0,"These Earbuds have been a lot better than expected. They are great quality and not just because of the price. They are so good I bought more for our daughters to use.My wife has apple earbud pro and keeps having issues, one had a constant scratching sound and was replaced and connectivity issues with her iPhone keep happening.  I have no issues with these on my Android phone, i don't lend them to anyone as in the past they misplace them!",Reviewed in the United Kingdom 🇬🇧 on 28 February 2023
B0BCKHQGJN,"Wireless Earbuds, Bluetooth 5.3 Headphones In Ear with 4 ENC Noise Cancelling Mic, Btootos New Bluetooth Earbuds Mini Deep Bass Stereo Sound, 36H Playtime LED Display Wireless Earphones IP7 Waterproof",Perfect,5.0,"I bought these for work. I work in a busy and noisy pharmacy and found it difficult to concentrate when making up trays so I got these to hopefully block out some of the noise well they did that and some more.I'm not very tech savvy but they were easy to setup, just put them in your ears turn on Bluetooth and of you go.",Reviewed in the United Kingdom 🇬🇧 on 9 March 2023
B0BCKHQGJN,"Wireless Earbuds, Bluetooth 5.3 Headphones In Ear with 4 ENC Noise Cancelling Mic, Btootos New Bluetooth Earbuds Mini Deep Bass Stereo Sound, 36H Playtime LED Display Wireless Earphones IP7 Waterproof",Incredible value!,5.0,"I've had these a couple of weeks now and have been blown away at how good these are.They are not just good for the price, (they are amazing for the price), but they are good, genuinely good.My normal headphones are BOSE but I like to have a cheaper pair to leave in the car etcI lost the charging case to my last ones, which I thought were good, but these are better.I used them mostly for audio books, podcasts, lectures etc, but these are absolutely good enough for music.Very very impressed.",Reviewed in the United Kingdom 🇬🇧 on 2 March 2023
B0BCKHQGJN,"Wireless Earbuds, Bluetooth 5.3 Headphones In Ear with 4 ENC Noise Cancelling Mic, Btootos New Bluetooth Earbuds Mini Deep Bass Stereo Sound, 36H Playtime LED Display Wireless Earphones IP7 Waterproof",Long hours use and no noise cancelling low bass not damaging to ears,5.0,I liked the low bass which with you will enjoy the music and at the same time it's not damaging to your ears and the battery life is good long . They came 100% charged anyway but I still charged them a bit . But overall I'm really really pleased with them they're the best earbuds very good value for the price 👏 👍,Reviewed in the United Kingdom 🇬🇧 on 9 March 2023
B0BCKHQGJN,"Wireless Earbuds, Bluetooth 5.3 Headphones In Ear with 4 ENC Noise Cancelling Mic, Btootos New Bluetooth Earbuds Mini Deep Bass Stereo Sound, 36H Playtime LED Display Wireless Earphones IP7 Waterproof",Brilliant quality,5.0,"Absolutely fantastic earbuds for the price. The sound quality is far better than the more expensive alternatives.Although I have only recently purchased these and can’t comment on the battery life, battery display on the case is great!Unlike other earbuds out there these make a beep sound then you have tapped the earbuds so you know you have tapped the correct spot.10 out of 10!!",Reviewed in the United Kingdom 🇬🇧 on 3 March 2023
B0BCKHQGJN,"Wireless Earbuds, Bluetooth 5.3 Headphones In Ear with 4 ENC Noise Cancelling Mic, Btootos New Bluetooth Earbuds Mini Deep Bass Stereo Sound, 36H Playtime LED Display Wireless Earphones IP7 Waterproof",Good sound quality,5.0,"Easy to pair, good sound quality, good depth of base.  Liked the magnetic fitting of the buds in their case, easy to recharge.  Noise cancellation  seems fine for small earphones (haven't used noise cancelling before so can't compare).  Felt comfortable to wear, very easy to use, good value for money!",Reviewed in the United Kingdom 🇬🇧 on 4 March 2023
B0BDJ37NF5,Apple AirPods Pro (2nd generation) ​​​​​​​,"Fantastic earphones, although expensive.",4.0,"As an introduction to this review, here is a summary. If you want Airpods and are prepared to pay the cost, these are fantastic. 10/10. No need to read the rest of the review, although you can if you want. For the people who are deciding whether to spend the extra money for the Pros over the regular airpods, this review will hopefully be helpful in decidingThe main difference between the Airpods Pro 2nd gen and the Airpods 3rd gen, is the ear tips. This enables noise cancellation and transparency mode.Transparency mode is honestly a 10/10. Could not be better. When I put them in my ears with transparency mode on, I often forget that they seal off, as they make it feel like I haven't got them in. While playing audio, I can still clearly here if someone is calling my name or something, which is very helpful.Noise cancellation is a 9/10. If you are playing audio while it is on, you basically cannot hear anything unless you are inside a jet engine or something. In a very loud room, it feels silent. Very impressive. I never use them without noise control on, as I find that it feels pressurised and weird in my ears.The sound quality of these is very good for earphones. I am personally a very audio focused person, I record and produce music. For me they do sometimes sound a little tiny, although they are easily the best sounding earphones I have ever heard, by a long shot. Although if you are thinking about over ear headphones, just because of the raw size of them, cheaper over ear headphones will sound better. The spatial audio really elevates the listening experience, when listening to music or watching movies etc. The head tracked spatial audio, however, I find is just a gimmick, although a cool one. I very rarely use it.The Airpods are generally quite comfortable. An 8/10 on comfort. Once I played around a bit with different ear tips sizes, and found the ones that fit me best, I found that I could wear them for about 2 hours continuously until they became uncomfortable. This got better over time as my ears got used to them, so I found little issue with comfort.The Airpods have very pretty good battery life. 8/10. They charge very quickly as well, which is extremely helpful. I find about 4-5 hours with the buds, then about 4 full charges of the buds from the case. I also use the wireless charging regularly, which is helpful. They take about 5 minutes of charging for 1 hour of listening I find.As a Mac and iPhone user, the earphones switch very intuitively between them, based on what I am doing. I find it very useful when I am working, or watching YouTube while playing chess or something random like that. They paired very easily in initial setup also, which was great.The touch controls on the side are very good. They require a bit of pressure on the stems to activate a click. Swipe to change volume I find very helpful, and long press to change between noise cancellation and transparency mode is also great.The case has all the functions of an airtag built in, which is very helpful if lost.You may be wondering, why am I rating these 4/5 stars. It is simply the price. They are very expensive, but I do not regret buying them. The only other reason I mark them down, is that they don't have the raw bass of over ear headphones, even cheaper ones. The main standout feature for me is the noise control features. That's why in my opinion they are worth the upgrade over the 3rd gen Airpods for many people.",Reviewed in the United Kingdom 🇬🇧 on 7 March 2023
B0BDJ37NF5,Apple AirPods Pro (2nd generation) ​​​​​​​,Unleashing the Magic of Sound,5.0,"The Apple AirPods Pro 2nd Generation are a remarkable piece of technology that offer an unparalleled audio experience. As soon as you take them out of the box, you can see and feel the premium quality of the design. The earbuds are incredibly comfortable to wear, and the different sizes of silicone ear tips make it easy to find the perfect fit for your ears.One of the standout features of the AirPods Pro is the active noise cancellation. It works flawlessly to block out any external noise, creating a fully immersive audio experience. Whether you're listening to music, taking phone calls, or watching videos, you'll feel completely immersed in the sound.Another impressive feature is the Transparency mode, which allows you to hear the world around you while still listening to your audio. This is particularly useful for when you need to be aware of your surroundings, such as when walking on a busy street or in a crowded area.The AirPods Pro also have an impressive battery life, providing up to 4.5 hours of listening time and 1 hour of talk time on a single charge. The charging case also holds multiple charges, giving you up to 24 hours of battery life in total.Overall, the Apple AirPods Pro 2nd Generation are an exceptional product that deliver on all fronts - sound quality, comfort, and functionality. If you're in the market for a high-quality pair of wireless earbuds, these are definitely worth considering.",Reviewed in the United Kingdom 🇬🇧 on 24 February 2023
B0BDJ37NF5,Apple AirPods Pro (2nd generation) ​​​​​​​,WOW..... These are by far the best I have ever owned.,5.0,"I read many recent reviews on these and I was impressed on the outcome. These are by far the best sounding quality ear pods I have ever owned. The sound from these is pure class and they fit into my lobes like a glove (Mine are Large) There's a choice of 4 pairs of covers from (XS, S, M, L) and they are easy to set up and operate. I work in and travel around London and use the underground network daily. These beauty's will drown out any outside noise and as one other reviewer wrote make sure you don't fall asleep wearing these, you certainly won't hear any station announcements. Regardless of your choice of genre, the sounds that these Air Pods Pro 2 produce will surely impress you. The one thing that surprised me though was that Air Pods Pro 2 were cheaper than the Bose in ear pods but the Apple Air pods Pro 2 had a far higher percentage review rate. If you're considering owning a decent pair of ear pods, consider these, they are sublime.",Reviewed in the United Kingdom 🇬🇧 on 2 March 2023
B0BDJ37NF5,Apple AirPods Pro (2nd generation) ​​​​​​​,Great!,5.0,"I absolutely love my AirPods Pro second generation! They are a fantastic upgrade from the original AirPods, with so many great new features and improvements.First of all, the sound quality is absolutely amazing. The active noise cancellation works wonders, blocking out all sorts of background noise so that I can truly immerse myself in my music or podcasts. And the transparency mode is incredibly useful too, allowing me to hear what's going on around me without having to take out my earbuds.The fit of the AirPods Pro is also much better than the original AirPods. They come with different ear tips so that you can choose the size that's most comfortable for you, and they stay in my ears much more securely than the first generation.The charging case is also sleek and easy to use, and I love that I can just place my AirPods Pro back in the case to charge them up. Plus, the battery life is great - I can use them for hours without having to worry about running out of juice.Overall, I am absolutely thrilled with my AirPods Pro second generation. They are a top-notch product that I would highly recommend to anyone looking for high-quality wireless earbuds.",Reviewed in the United Kingdom 🇬🇧 on 18 February 2023
B0BDJ37NF5,Apple AirPods Pro (2nd generation) ​​​​​​​,Sounds good,5.0,"I have found AirPods the most ergonomic of the earbud offerings and use them for phone (extensively), audiobook and music. There is a lot of emphasis across all kit on display quality for eyes but sound quality can be overlooked. The value of privacy and not disturbing other people means that comfort when used for long periods is also important.I moved up from AirPods to AirPod Pro after finding that the former tended to fall out when walking (regardless of cup fitting) and the greater sound quality was an incidental benefit.The first generation of the Pro have been excellent and I would probably not have upgraded but the holder and pods inside did not survive a cotton hot wash when left in a jeans pocket (don’t try this at home). I tried drying them by putting them in a bowl of rice but no luck.Generation 2 was imminent and I made do with a different make for a month. Although not inexpensive, the stand ins fell well short of AirPods in terms of comfort, staying in the ear, weight and simplicity of use. I had to refer to a manual because the design was not intuitive.AirPod 2 prompted an upgrade to my Iphone OS for full functionality (you can proceed without but don’t benefit from all the enhancements). Once done, pairing completed in seconds and a brief tour popped up explaining ‘on stalk’ controls.There are all sorts of jargon reviews about spatial sound field depth and so on. All I know is that, from recollection after a month’s gap, the sound quality and immersive sense was better. This could be partly the stand ins but I used them far less because they were not up to AirPod user friendliness. I used the pro 1 for a long time and I can identify a material improvement to an already good sound stage. Phone calls and audiobooks are not much of a challenge and to put the new generation through its paces I chose a few tracks that would test out bass, high notes, quiet and wall of sound music. To my ear, these very light earbuds are high quality hi fi and on a par with a Bose unit we use. The difference with the Pro 2 seems to be a sense of openness - more akin to listening to 3D sound versus an enclosed headphone experience.Noise cancellation - good in generation 1, it is dramatic for its ability to negate external sounds in the new incarnation. It also seems to be less artificial. Rather than a cotton wool effect, it is more as if external sounds are removed and that the degree of cancellation in some way takes account of the level of ambient noise rather than a blanket effect.There is no noticeable difference in size, weight or mass of the kit and the stalk seems to be much the same. One change is a further ear cup size, accommodating to a wider range of fitting needs.Most controls (volume, pause, skip) are available on the stalks. I have always found it easier to operate these from the phone and it took a degree of practice to test out ‘stalk control’. It works and may be useful for the gym and running.I think generation 1 AirPods were waterproof but not the charging case. Both are now certified water (rather than splash) proof. I wouldn’t risk them in a long boil wash again but a waterproof case reduces the need to safeguard it when out and about. Not tried them in the shower or swimming and will leave this to anyone prepared to risk new kit in the interests of reviewing.Charging is, as per previously, possible using a charging mat and the spec states markedly improved usage per charge - 6 hours listening/4.5 talk time for the AirPods and 30/24 for the case. Slightly less with spatial audio and head tracking (?! - think ‘cinema surround sound’).Important to note - AirPods can be used with non Mac devices but some of the advanced features are not available, requiring Mac OS.The one phenomenon that I will need to wait and see to know if it has been eliminated is ‘fade’. On all AirPods I have noticed after a while that phone callers report that my voice is fading out (random occurrence) for no accountable reason. I only notice this on calls, not listening and it seemed to be a function of the microphone and software because I could hear the caller fine. It was the only (and intermittent) issue I had with previous versions. I kept software up to date and the only other cause I have read up is ‘too many apps in use). iPhones don’t close apps and I have to periodically swipe and clear a dozen or so. Could be the issue and I have only discovered this as the possible culprit when looking for problems reported on line with generation 2. The only claimed problem was an apparently continued one - connectivity between multiple devices. I haven’t noticed this but I haven’t experienced a problem when switching between my Mac, IPad and phone or a Bluetooth enabled land line phone.And finally. All told I have probably spent 3 hours over the years searching for the case, which can easily get lost in pockets (thus the washing machine incident). The number of times I have been delayed going out or forced to take a call because I had misplaced them is legion. This has been solved by being able to ask the AirPod case to emit a ping to reveal where it is in hiding.Overall. I would have hesitated to buy these if I had not machine washed version 1 and then taken a backward step with another make. However, my subjective impression is that these are a significant step forward for an already good piece of kit. If you use AirPods on a daily basis for a fair while I consider that you will find these worthwhile the upgrade. Plenty are prepared to change smart phones at each launch (I usually wait three years) but to use an analogy, better tyres can improve driving experience for far less outlay than changing a car. AirPods support quite a lot of high end kit and the outlay enhances the overall utility of that ecosphere.",Reviewed in the United Kingdom 🇬🇧 on 26 September 2022
B0BDJ37NF5,Apple AirPods Pro (2nd generation) ​​​​​​​,You get what you pay for,5.0,"After many years of using other EarPods I decided to try out Apple, made sense to do so as I have iPhone, iPad and iMac so why not complete the collection!Yea these are expensive. But, in many years of using EarPods at work, while out and about and mainly at the gym I can hand on heart say these are absolutely the next level. This is because;1. Perfect Fit. Apple have done a lot of work on creating a perfect fit. Options of four sizes and coupled with the spatial audio feature you really do get an audio nirvana type of experience.2.Lightweight - to the extent that  as other reviewers have put it, makes you think they are not there.3.Audio -  sound is excellent and you can really turn up the volume without creating distortion.4. ANC - very brilliant. Not only in the gym where I’m not sure I can hear much if any background noise, I used these on a rail journey the other day and the ANC was that good I couldn’t hear the rumble of the train or the announcements. Might be a bit dangerous if you were to fall asleep!! :)5. Connection - with apple to apple this is done automatically. Charging is easy and the charge lasts for a long while-I haven't ran out of charge yet.6. Sweat resistant. The tin says they are and Incan confirm they are - they don’t fall out while I’m on the treadmill doing my 5 k runs!!You will get cheaper versions on the market which if you aren’t to worried about the 6 key things above may suit your needs and pocket better. If however you are expecting all of these things and want total satisfaction (and amazement) then these are for you.",Reviewed in the United Kingdom 🇬🇧 on 9 February 2023
B0BDJ37NF5,Apple AirPods Pro (2nd generation) ​​​​​​​,Awesome,5.0,"I recently had to replace my Bose QC30 headphones due to aging parts, and was disappointed in their longevity. After considering options from Sony and Apple, I ultimately chose the AirPods Pro 2 for their seamless integration with my Apple devices. I was pleasantly surprised by the noise cancellation, which is comparable to my previous Bose headphones. Additionally, the AirPods Pro 2 are lightweight and easily portable, making them a great option for travel. The battery life is impressive, providing up to 5 hours of listening time with noise cancellation and spatial audio enabled. To ensure peace of mind, I purchased the 2-year AppleCare+ insurance plan which includes accident coverage and extends the guarantee to 2 years for only 29 pounds. Overall, I am extremely satisfied with my decision to purchase the AirPods Pro 2 and would highly recommend them to anyone.",Reviewed in the United Kingdom 🇬🇧 on 25 February 2023
B0BDJ37NF5,Apple AirPods Pro (2nd generation) ​​​​​​​,Simply magic,5.0,"I've had the Airpods 3rd gen for about a year and love them so I thought I'd try these and I wasn't disappointed. The Apple airpods are by far the easiest to pair with devices. My first test was on Classic FM. Basses were deep and beautifully clear as was the trebles from the likes of violins, violas, trebles and vocals. It's such a joy listening to music through these. I've just sent back a pair of top end earbuds that came nowhere close to this quality. Watched a movie on my Oculus quest 2 VR last night too and you could hear every breath, squeak and rumble. A winner with these for sureProsAble to use straight out of the boxExcellent noise cancellationamazing sound qualityease of pairing is a real boonvery comfy to wear.Consonly one, can't find equaliser software for them",Reviewed in the United Kingdom 🇬🇧 on 15 February 2023
B0BDJ37NF5,Apple AirPods Pro (2nd generation) ​​​​​​​,The Best All Rounders Right Now,4.0,"The Apple Air Pods Pro 2 are so good at everything they do that I think they’re the best all rounders for most people. Although they are good or very good in all aspects, other buds have better sound and noise cancelling. The Air Pods Pro 2 do more things better than the competition though. For example, wind noise is a non issue when on calls outdoors. Call quality is also great. Transparency mode is so good it almost feels like you aren’t wearing ear buds and again, wind noise is massively reduced in comparison with other premium ear buds. They are also smaller and lighter (both the case and the buds) than most of the competition. I do notice that you have to ramp the volume up to a very high level to get the best sound but that’s not a problem. The noise cancelling is great but it doesn’t drown out voices or higher pitched sounds too well, which can be an issue with when travelling. In most cases though, it’s very good. Overall, they’re great and probably the best out there right now.",Reviewed in the United Kingdom 🇬🇧 on 5 February 2023
B0BDJ37NF5,Apple AirPods Pro (2nd generation) ​​​​​​​,Must have for Apple users,4.0,"The fit of the earbuds is important, a lot depends on them, if you don't want to keep tweaking them, look for one of the earphones on the sidewalk or at home.Everyone's ear is different, so keep this in mind when switching from the default ones to smaller or larger ones. I use factory-fitted headphones and do not need to adjust the headphones, although they could fall out of my ears while cycling.It is worth adding that the set includes a new size (XS) of inserts. It works great if the user has a smaller ear. It is good to check each of the sizes to make them fit perfectly.AirPods Pro last up to 6 hours on a charge, most of the time that's true. It is worth mentioning that the charging case extends the listening time to 30.I have been using the Jabra Elite 7 Pro for a long time, the headphones discharge slower in an hour of listening to music compared to the new AirPods. Not only that, the Apple headphones are constantly charged in the case, even after reaching 100%The case has undergone a slight metamorphosis, there is a place for a lanyard, speaker and microphone. The IPX4 certification has not been forgotten, thanks to which the ""box"" is more resistant to water.Nothing prevents you from controlling the operation of the headphones without using an iPhone. Everything is done by pressing each shaft separately.The gestures are as follows:- single press starts or pauses playback- double pressing changes the track to the next in the queue- triple press changes the track to the previous one in the queue- pressing and holding enables ANC or contact modeThe hallmarks of the AirPods Pro are undoubtedly the contact mode and active noise reduction. Both are important and should be implemented as well as possible.ANC will work when we do not want to hear sounds coming from outside (cars on the street, people talking or inside the plane). Thanks to this, you can focus on listening to your favorite songs.AirPods Pro 2 do a great job of cutting off unwanted sounds. I didn't use the first generation, so it's hard for me to compare them to it, but the ANC fares better when compared to the Jabra Elite 7 Pro.Contact mode is a game changer for me, it works very well. I use it mainly in stores or when withdrawing money from an ATM. In such moments, it is good to hear what is happening around you.Adaptive mode is a novelty available only in the second generation. Its task is to strongly mute louder sounds.Partly this is fine, but sometimes it can work to your disadvantage. Especially when crossing the road, if the car honks and someone does not hear it, there may be a problem ...You can turn it off at any time.I listen to a lot of hip-hop and the sound in AirPods Pro 2 is of the highest quality. The bass is stronger, and the rest is better compared to the Jabras. These are some of the best headphones in this regard.Call quality was improved too, but the headphones had a connection problem and I could use them every other phone if they were to be used for phone calls.The price is not the lowest, but you can see what it is dictated by. Great ANC and contact mode, somewhat questionable battery life and high sound quality justify their cost.Integration with iOS / iPadOS is another plus, you do not need to download an additional application to set the headphones and select the appropriate functions. This is another element that should be watched by the competition.",Reviewed in the United Kingdom 🇬🇧 on 17 October 2022
B0BJCTH4NH,"Wireless Earbuds, Wireless Headphones Bluetooth 5.0 Headphones 3D HiFi Stereo Headphones Noise Cancellation in-Ear Built-in Mic with Charging Case, Touch Control Earphones for iphone/Android/IOS",Good Quality and Easy to Use,5.0,"Although I have no previous experience with, or technical knowledge of Bluetooth earbuds, I had no trouble pairing them to the smartphone and computer.On listening to music, voice recordings, audiobooks and videos I was positively surprised at the quality and clarity of the stereo sound.I now use the earbuds mainly when out and about, especially when walking in nature, and in the evenings when relaxing. I also discovered them to be useful when preparing food at home in the kitchen in preference to straining to hear the loudspeakers in the adjacent room.After fully charging the charging box and then using both earbuds together, I found I initially got a little under 2 hours listening time. After that, I found I could usefully let the earbuds charge up from the charging box a couple of times more to give a grand total listening time of a little over 4 ½ hours. Then I would fully recharge the charging box once again.Alternatively, I found I could use one earbud at a time and alternate them to double the total listening time before fully recharging the charging box once again.Because I know very little about noise cancellation technology, I feel I am not qualified to speak about it. However, on the few occasions I was using these earbuds in crowded public places and supermarkets with background noise, I had no trouble listening to my music or recordings. I did hear background noise, but I found in most cases that background noise can be compensated for by switching up the volume. Some exceptions being mainly when walking along some busy main roads with much traffic or walking past loud machinery, possibly in combination with low quality recordings I am listening to.Being unfamiliar with the technology and usage of Bluetooth earbuds, I found the main drawback of my purchase was the small paper strip of instructions that came with the earbuds. I would have liked the instructions to have been more detailed and clearer to help me to get to know the earbuds without sometimes having to resort to trial and error.  I also found the English instructions difficult to read because they are written in very small print.For my purposes I haven’t needed to use, and probably will not use the touch function, especially in combination with making calls, and so I cannot speak about it here.Overall I find that these wireless earbuds definitely fulfil the purpose for which I bought them and I feel they were a bargain for the relatively low price I paid for them.",Reviewed in the United Kingdom on 2 March 2023
B0BJCTH4NH,"Wireless Earbuds, Wireless Headphones Bluetooth 5.0 Headphones 3D HiFi Stereo Headphones Noise Cancellation in-Ear Built-in Mic with Charging Case, Touch Control Earphones for iphone/Android/IOS","Sound is decent. Comfortable to wear, but poor battery",4.0,"Never really bothered with noise cancellation features, but so far it gets the job done. I can mostly study free from distractions, though I don't think I've used it in a very noisy environment so far.Sound is pretty decent. I won't say perfect, but most music turns out nice and there is decent bass. However, you have to make sure you hear the in-built voice system says ""pairing"" before attempting to connect to any device, otherwise the quality will be distorted for some unknown reason. Long story short, don't connect the earbuds too quickly (once taken out of the charging shell) to the devices.However, I'm most disappointed with the battery. Granted, I set the volume higher than average, but usage normally lasts 1.5-2 hours. Not sure if its quantitatively shorter than average, but from experience of using various wireless earbuds, this one depletes rather quickly.No issues with fitting into my ears especially since there is no ""rubbery"" component that clogs your ears. The earbuds ""extended leg"" design might be slightly inconvenient when you put a hood over it.",Reviewed in the United Kingdom on 1 February 2023
B0BJCTH4NH,"Wireless Earbuds, Wireless Headphones Bluetooth 5.0 Headphones 3D HiFi Stereo Headphones Noise Cancellation in-Ear Built-in Mic with Charging Case, Touch Control Earphones for iphone/Android/IOS",Excellent value,5.0,For the price these earbuds are brilliant!  I purchased these for my daughter to use on the bus to school. She lost a more expensive pair that I did not want to replace!!  As mentioned by other reviewers the battery life is not as long as the more expensive ones but for our daily use it is sufficient and for the price I don't think you can expect more! My daughter has been using these for a week now with no issues.,Reviewed in the United Kingdom on 9 March 2023
